Tags,Year,Copy No,Accession No,Edition,Co-authors,Authors,Category,Condition,ISBN13,Remarks,ISBN-13,Call No,Language,Title,Description,Publisher,Subject,Binding,ISBN
,2000,,,,,Bill Gates;Collins Hemingway,,,,,9780140283129,,en,Business @ The Speed Of Thought: Using A Digital Nervous System,,Penguin UK,,,
,2012,,,,,Arch Lustberg,,,,,9788184950359,,en,How To Sell Yourself,,Jaico Publishing House,,,
,2009,,,,,Christine Louise Hohlbaum,,,,,9780312570484,,en,The Power Of Slow,,St. Martin's Press,,,
,2006,,,,,Scoble,,,,,9788126510078,,en,Naked Conversations: How Blogs Are Changing The Way Businesses Talk With Customers,,John Wiley & Sons,,,
,2012,,,,,John Michael Greer,,,,,9781780870403,,en,Apocalypse: A History Of The End Of Time,,Quercus Books,,,
,,,,,,Aravind Adiga;Ingo Herzke;Ingo Herzke,,,,,9788172238476,,,The white tiger: a novel,,,,,
,1997,,,,,Fritjof Capra,,,,,9780006547518,,en,The Web Of Life: A New Scientific Understanding Of Living Systems,,HarperPerennial,,,
,1995,,,,,Roger Penrose,,,,,9780099582113,,en,Shadows Of The Mind,,Random House,,,
,2001,,,,,David Bodanis,,,,,9780330391658,,en,E,,Pan Macmillan,,,
,2006,,,,,Daniel Goleman,,,,,9780553840070,,,Emotional intelligence,,,,,
,2007,,,,,Mohsin Hamid,,,,,9780151013043,,en,The Reluctant Fundamentalist,,Houghton Mifflin Harcourt,,,
,2006,,,,,David Joseph Schwartz,,,,,9781416511557,,ja,The magic of thinking big,,,,,
,1982,,,,,Fritjof Capra,,,,,9780006544890,,,The Tao of physics: an exploration of the parallels between modern physics and eastern mysticism,,Flamingo,,,
,2000,,,,,Robert T. Kiyosaki,,,,,9780446677462,,,Rich dad's guide to investing: what the rich invest in that the poor and middle class do not!,,Warner Books,,,
,1995,,,,,Ayn Rand,,,,,9780451187840,,,We the living,,Penguin,,,
,2000,,,,,Edward De Bono,,,,,9780140287769,,en,New Thinking For The New Millennium,,"Penguin Books, Limited (UK)",,,
,2004,,,,,Robert Baer,,,,,9781400052684,,en,Sleeping With The Devil: How Washington Sold Our Soul For Saudi Crude,,Broadway Books,,,
,2003,,,,,S. S. Sastry,,,,,9788120312661,,en,Introductory Methods Of Numerical Analysis,,,,,
,2007,,,,,Dick Morris,,,,,9780061195402,,,"Outrage: how illegal immigration, the United Nations, Congressional ripoffs, student loan overcharges, tobacco companies, trade protection, and drug companies are ripping us off-- and what to do about it",,HarperCollins,,,
,2011,,,,,Subramanian Swamy,,,,,9788124116388,,en,2G Spectrum Scam,,,,,
,2007,,,,,R. K. Narayan,,,,,9788185986098,,,The vendor of sweets,,Gardners Books,,,
,2004,,,,,Stephen R. Covey,,,,,9781416502494,,en,The Seven Habits Of Highly Effective People: Restoring The Character Ethic,,,,,
,1990,,,,,Edward de Bono,,,,,9780140137798,,,Lateral thinking: a textbook of creativity,,Penguin,,,
,2013,,,,,Jonah Berger,,,,,9781471111693,,en,Contagious: Why Things Catch On,,,,,
,2008,,,,,Len Fisher,,,,,9780465009381,,en,"Rock, Paper, Scissors: Game Theory In Everyday Life",,Basic Books (AZ),,,
,2004,,,,,Michael E. Porter,,,,,9780743260879,,en,Competitive Advantage: Creating And Sustaining Superior Performance,,Free Press,,,
,2003,,,,,Bob Garratt,,,,,9781861976598,,en,Developing Strategic Thought: Rediscovering The Art Of Direction-Giving,,Profile Books(GB),,,
,2005,,,,,Shobha Dé,,,,,9780143032373,,en,Spouse: The Truth About Marriage,,Penguin Books India,,,
,2006,,,,,Amartya Sen,,,,,9780141012117,,en,"The Argumentative Indian: Writings On Indian History, Culture, And Identity",,Penguin UK,,,
,2005,,,,,Thomas L. Friedman,,,,,9780713998788,,en,The World Is Flat: A Brief History Of The Twenty-First Century,,,,,
,2002,,,,,William C. Wake,,,,,9780201733976,,en,Extreme Programming Explored,,Addison-Wesley Professional,,,
,2005,,,,,Jim Kasper,,,,,9781419502743,,en,Creating The #1 Sales Force: What It Takes To Transform Your Sales Culture,,Kaplan Publishing,,,
,1965,,,,,Sigmund Freud;James Strachey,,,,,9780380010004,,en,The Interpretation Of Dreams,,Harper Collins,,,
,2008,,,,,Ram Charan,,,,,9781905211241,,en,Know-How: The 8 Skills That Separate People Who Perform From Those Who Don't,,Random House,,,
,1991,,,,,Aristotle,,,,,9780879756710,,en,Metaphysics,,,,,
,2003,,,,,Thilmany,,,,,9788177586800,,en,"Net Patterns: Architecture, Design, And Process",,Pearson Education India,,,
,,,,,,Erich Gamma;Erich Gamma;Richard Helm;Ralph E. Johnson;John Vlissides;Grady Booch,,,,,9788178081359,,,Design patterns: elements of reusable object-oriented software,,,,,
,1996,,,,,E. Bruce Goldstein,,,,,9780534266226,,en,Sensation And Perception,,Thomson Brooks/Cole,,,
,2011,,,,,Walter Isaacson,,,,,9781408703748,,en,Steve Jobs,,Little Brown GBR,,,
,1996,,,,,Roger S. Pressman,,,,,9780071146036,,,Software engineering: a practitioner's approach,,McGraw-Hill,,,
,,,,,,Grady Booch,,,,,9789812359810,,,Conception orientée objets et applications,,,,,
