Title,Authors,Co-authors,Edition,Year,Publisher,Category,ISBN,ISBN13,Call No,Accession No,Subject,Copy No,Remarks,Binding,Condition,Description,Tags
Network programming in C,Barry Nance,,,,,,,9788120308961,,,,,,,,,
Artificial Intelligence,,,,,,,,9788129700414,,,,,,,,,
Knowledge management strategies,Jerry Honeycutt,,,2000,Microsoft Press,,,9780735607248,,,,,,,,,
Programming with Java a Primer Second Edition,,,,,,,,9780074635421,,,,,,,,,
Professional Symbian programming: mobile solutions on the EPOC platform,Martin Tasker,,,2000,Wrox Press Ltd.,,,9781861003034,,,,,,,,,
File structures: an object-oriented approach with C++,Michael J. Folk;Greg Riccardi;Bill Zoellick,,,,,,,9788178081311,,,,,,,,,
Oracle8i: the complete reference,Kevin Loney;George Koch,,,,,,,9780070411678,,,,,,,,,
Meditation &amp;amp; its practices: a definitive guide to techniques and traditions of meditation in Yoga and Vedanta,Swami Adiswarananda;Yanmin Liang;Zhicheng Wang;Xiaowei Zhou,,,,,,,9788175052598,,,,,,,,,
Living wisdom: Vedanta in the world community,Pravrajika Vrajaprana,,,1995,Sri Ramakrishna Math,,,9788171207145,,,,,,,,,
Philosophy and science of value education in the context of modern India,"National Seminar on ""Philosophy and Science of Value Education in Today's Context"" (2005 Ramakrishna Mission Institute of Culture)",,,2006,Ramakrishna Mission Institute of Culture,,,9788187332466,,,,,,,,,
"For thinkers on education. [Sri Ramakrishna Math, Mylapore, Madras. Golden jubilee, 1948",Swami Ramakrishnanda,,,1994,Sri Ramakrishna Math,,,9788171204953,,,,,,,,,
The complete works of Swami Vivekananda,Vivekananda,,,1947,Vedanta Press & Bookshop,,,9788185301464,,,,,,,,,
